Method,Path,Body,Single Quotes,Double Quotes,Dashes,Braces,Spaces,Tags,Colons,Backtick,Bad Words,XSS Check,XSS Word
GET,/DVWA/vulnerabilities/exec/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/csrf/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/fi/?page=include.php,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/upload/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/captcha/,,0,0,0,0,0,0,0,0,0,0,0
GET,/recaptcha/api.js,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/sqli/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/sqli/?id=1&Submit=Submit,,0,0,0,0,0,0,0,0,1,0,0
GET,/DVWA/vulnerabilities/sqli/?id=%27+OR+%271%27%3D%271&Submit=Submit,,4,0,0,0,0,0,0,0,1,0,0
GET,/DVWA/vulnerabilities/weak_id/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/sqli_blind/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/xss_r/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Ealert%281%29%3C%2Fscript%3E,,0,0,0,1,0,4,0,0,0,0,1
GET,/DVWA/vulnerabilities/xss_s/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/xss_r/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/xss_d/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/xss_d/?default=French,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/xss_d/?default=%3Cscript%3Ealert(1)%3C/script%3E,,0,0,0,1,0,4,0,0,0,0,1
GET,/DVWA/vulnerabilities/fi/?page=include.php,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/upload/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/csrf/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/exec/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/brute/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/exec/,,0,0,0,0,0,0,0,0,0,0,0
POST,/DVWA/vulnerabilities/exec/,ip=127.0.0.1&Submit=Submit,0,0,0,0,0,0,0,0,0,0,0
POST,/DVWA/vulnerabilities/exec/,ip=127.0.0.1&Submit=Submit,0,0,0,0,0,0,0,0,0,0,0
POST,/DVWA/vulnerabilities/exec/,ip=127.0.0.1&Submit=Submit,0,0,0,0,0,0,0,0,0,0,0
POST,/DVWA/vulnerabilities/exec/,ip=127.0.0.1&Submit=Submit,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/weak_id/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/weak_id/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/sqli_blind/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/sqli/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/weak_id/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/sqli_blind/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/sqli/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/sqli/?id=%27+UNION+SELECT+1%2C2%2C3%2C4%2C5%2C6--+-&Submit=Submit,,1,0,1,0,0,0,0,0,3,0,0
GET,/DVWA/security.php,,0,0,0,0,0,0,0,0,0,0,0
GET,/dvwa/js/add_event_listeners.js,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/weak_id/,,0,0,0,0,0,0,0,0,0,0,0
